trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,,,,
21,0,21,0,10,73.2491279,73.2491279,0.0886245,-0.068571429,-0.402857143,1,0,0,3.2477779,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
22,0,22,0,10,76.6146706,76.6146706,0.100605,-0.008571429,-0.094285714,1,0,0,1.4704556,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
25,0,25,0,10,81.3625516,81.3625516,0.0913513,0.15,-0.23,1,0,0,2.28291,    ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
27,0,27,0,10,85.562873,85.562873,0.0665603,0.224285714,-0.335714286,1,0,0,1.5817563,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
29,0,29,0,10,88.9267932,88.9267932,0.0837701,-0.418571429,0.37,1,0,0,2.5714536,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
31,0,31,0,10,95.7909523,95.7909523,0.0963215,0.047142857,0.041428571,1,0,0,2.8413783,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
32,0,32,0,10,98.7402175,98.7402175,0.0921665,0.218571429,-0.351428571,1,0,0,2.3491538,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
39,0,39,0,10,111.6528461,111.6528461,0.1635346,0.167142857,-0.258571429,1,0,0,2.3500091,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
44,0,44,0,10,124.0157855,124.0157855,0.0888235,-0.044285714,-0.29,1,0,0,4.7998498,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
48,0,48,0,10,137.51222,137.51222,0.0627755,0.004285714,0.098571429,1,0,0,2.9559178,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
49,0,49,0,10,140.55934,140.55934,0.0834224,0.351428571,-0.354285714,1,0,0,2.8366441,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
52,0,52,0,10,147.1255844,147.1255844,0.1597346,-0.298571429,-0.231428571,1,0,0,3.1440869,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
53,0,53,0,10,150.3396002,150.3396002,0.110072,-0.457142857,0.33,1,0,0,2.5461586,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
