trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,Fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,,,,
55,0,55,0,10,90.88339833,90.88339833,0.017828541,0.281111111,-0.016666667,1,0,0,1.112308125,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
56,0,56,0,10,92.01590821,92.01590821,0.017901667,-0.455555556,-0.161111111,1,0,0,1.563285958,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
60,0,60,0,10,97.96421046,97.96421046,0.017772584,0.306666667,-0.062222222,1,0,0,1.208466708,     ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
64,0,64,0,10,102.8650276,102.8650276,0.0180245,0.102222222,0.367777778,1,0,0,1.441173584,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
65,0,65,0,10,104.326279,104.326279,0.01750025,0.098888889,0.213333333,1,0,0,0.837926833,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
66,0,66,0,10,105.184612,105.184612,0.017907416,0.237777778,-0.405555556,1,0,0,1.254877792,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
68,0,68,0,10,107.6139405,107.6139405,0.017676042,0.16,0.21,1,0,0,1.1992315,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
69,0,69,0,10,108.8336973,108.8336973,0.017648542,0.295555556,-0.395555556,1,0,0,1.356721625,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
70,0,70,0,10,110.2096808,110.2096808,0.017176541,-0.468888889,0.037777778,1,0,0,1.837011208,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
71,0,71,0,10,112.0669631,112.0669631,0.0176975,0.161111111,0.343333333,1,0,0,1.589756292,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
